,date,text
51,2020-11-12 08:00:00,"One, Two, Three viva l'Algérie!

We have some AFCON qualification action a little later on HD7! 

🇩🇿 vs 🇿🇼

Subscribe to beIN SPORTS to follow watch it all! 👇

🔗https://t.co/VC9FJpayYr
📱 https://t.co/6GHQzT0rEL https://t.co/BiD7yLM3Zh"
52,2020-11-12 07:30:00,"📽️ Highlights

Finland stun France 2-0 😧

https://t.co/isRdIcBH9O"
53,2020-11-12 07:00:00,"CR7 is closing in on Ali Daei's all-time international goalscoring record as Portugal thrashed Andora 7-0 🔥

https://t.co/Zlshwqfnn8"
54,2020-11-12 06:00:02,"Happy Birthday Thomas Lemar 🎂 

Throwback to his first ever shot in the Champions League... 🎯 

🎥 @AS_Monaco 

https://t.co/Np5KY9tDU9"
55,2020-11-11 20:59:00,"A couple of special goals in @Ligue1_ENG this weekend 🕺

Check them out 👇

https://t.co/CuzRVQrd71"
56,2020-11-11 19:48:02,"Let's sort this out with a poll! 💪

Which French defensive midfielder is the best? 🇫🇷

You have 24 hours! ⏰

#beINTERACT"
57,2020-11-11 19:00:00,"PSG are in the running for CR7 if the Portuguese striker came on the market 👀

#beINLigue1

https://t.co/kF1gPAA3x1"
58,2020-11-11 17:00:02,"DEBATE

Three French defenders who bossed it in the Premier League, but which one is the best? 🇫🇷 💪

❤️ = Claude Makélélé
🔁 = Patrick Vieira
🗣️ = N'Golo Kanté

#beINTERACT https://t.co/j1YR2zoLGX"
59,2020-11-11 15:08:00,"Liverpool central defender Joe Gomez has suffered a serious injury whilst on England duty, in a massive blow for the Premier League Champions. 

#beINPL 

https://t.co/83QdMbdWim"
60,2020-11-11 15:00:01,"Promising youngster Jude Bellingham has earned a call-up to the England senior team, but should have Ross Barkley and James Maddison got the call ahead of the BVB man?

#NationsLeague

https://t.co/nP6s0HPxWc"
61,2020-11-11 14:00:00,"""I want to be a player at Camp Nou for many more years and keep winning trophies."" 🏆

Marc-Andre ter Stegen has revealed why he committed his future to FC Barcelona 

#beINLiga 

https://t.co/nr5pz5PdTy"
62,2020-11-11 13:00:02,"Napoli will take legal action on the decision to award Juventus a 3-0 win after COVID-19 denied them to travel to Turin. 

#beINSerieA 

https://t.co/KQeRDk19i0"
63,2020-11-11 12:24:14,"Mount v Grealish? Firmino v Jota Fernandes v Pogba? When did a strong squad become so toxic? 🤯

@sbates_people and @MelissaReddy_ break it all down. 

Listen and subscribe to @CarrieBrownTV's #beINTheKnow Podcast 👇

https://t.co/vdd4spuinD https://t.co/QN74KUJbtN"
64,2020-11-11 11:00:01,"After an impressive start to life in the Premier League, Thiago Silva is already looking to extend his stay at Chelsea 🇧🇷 💪

#beINPL 

https://t.co/701LyfvE7j"
65,2020-11-12 14:44:29,"افتقد ليڤربول ١٣ لاعب هذا الموسم بسبب الإصابة أو كوڤيد-١٩ :

🔴 أليسون
🔴 ڤان دايك
🔴 غوميز
🔴 ماتيب
🔴 فابينيو
🔴 آرنولد
🔴 تياغو
🔴 تشامبرلين
🔴 هيندرسون
🔴 كيتا
🔴 ماني
🔴 تسيميكاس
🔴 شاكيري https://t.co/cUPOV0cggF"
66,2020-11-12 14:43:55,""" جوردان بيكفورد هو الحارس رقم ١ بإنجلترا ، لعب ٢٨ مباراة بآخر ٣٠ للمنتخب لذلك يستحق بهذا السجل أن نعتبره الحارس الأول ""

🧤 نيك بوب يعترف بأفضلية حارس مرمى إيڤرتون دولياً https://t.co/BzPyPs1OcG"
67,2020-11-12 14:22:05,"🚨 الميرور : 

• نيكولاس بيبي غير سعيد في أرسنال ! https://t.co/Tbi8aWVNJf"
68,2020-11-12 13:35:38,🚨 نادي كريستال بالاس يعلن إصابة قائده لوكا ميليفوفيتش بفيروس كورونا https://t.co/W03XqGSURq
69,2020-11-12 11:32:20,"🗣️ هيونع مين سون في تصريحات نقلها موقع Goal : 

 ""لم أفكر يومًا أنني من بين أفضل اللاعبين في الدوري الإنجليزي الممتاز ، بصراحة ، لم أفكر في ذلك أبدًا للحظة ، لقد حاولت دائمًا أن أبذل قصارى جهدي من أجل توتنهام والمنتخب الوطني وأحاول إظهار كل قدراتي "" https://t.co/UwZu9CdN51"
70,2020-11-12 11:30:53,ميرور : مستقبل سلافين بيليتش في موضع شك، مع عدم تحقيق اي فوز وفي ظل البداية السيئة للموسم يدرس مجلس الإدارة اقالته والبحث عن مدرب آخر، العلاقة بين الطرفين متوترة، بيليتش غير راضٍ عن تحركات النادي في سوق الانتقالات الصيفية والتي كان اخرها رحيل احمد حجازي لنادي الإتحاد السعودي ! https://t.co/CQP8dlnBDB
71,2020-11-12 11:09:20,🚨 استقال جريج كلارك من منصبه كنائب لرئيس الفيفا بعد مكالمة هاتفية مع رئيس الاتحاد الأوروبي لكرة القدم ألكسندر تشيفرين صباح الخميس ، و ذلك بعد أقل من يوم منذ إستقالته من منصب رئيس الإتحاد الإنجليزي https://t.co/L0wCoa8czO
72,2020-11-12 10:31:55,🚨 و ذكرت نفس الصحيفة أن تضييع اللاعب لفعاليات اليورو مع منتخب بلاده إحتمال وارد أيضاً !
73,2020-11-12 10:12:52,"🚨 حسب التيليغراف : 

• جو غوميز قد يغيب لفترة طويلة بسبب الإصابة و ربما تكون هذه نهاية الموسم بالنسبة له ! https://t.co/r8zbVB8fzB"
74,2020-11-12 09:59:45,"⚠️ جاك بيت بروك [ صحفي في قناة توتنهام ] :

"" أعتقد أن أهم قرار إتخذه دانيال ليفي في فترته مع توتنهام هو إقالة ماوريسيو بوتشيتينو و تعويضه بجوزيه مورينيو ، طبعا أعلم أن الحكم سابق لأوانه و لكن عندما تشاهد الطريقة التي يلعبون بها ( توتنهام ) ستعرف أن الأمر يسير أفضل من المتوقع "" https://t.co/jtMd0ICDk9"
75,2020-11-12 09:21:24,رسميا: غابرييل ماغالهايس لاعب الشهر في ارسنال لشهر اكتوبر https://t.co/lX7MIQBvuI
76,2020-11-12 09:18:19,"• أقل فريق حصدا للنقاط في موسم واحد في تاريخ البريميرليغ هو ديربي كونتي موسم 2007/08 حيث تمكن من حصد 11 نقطة فقط طول الموسم ‼️

• هل تتوقع ان يتم كسر هذا الرقم في الموسم الحالي بعد المستويات المخيبة لبعض الأندية ؟ https://t.co/ZxpGSxnLYb"
77,2020-11-12 09:01:14,قيم موسم فريقك حتى الآن من 10 ؟ https://t.co/kzfTAeIXYX
78,2020-11-12 07:46:48,ESPN : ليفربول سينضم الى توتنهام في سباق التوقيع مع ميلان سكرينيار مدافع الإنتر في شهر يناير ! https://t.co/L31hbVkl9a
